"ID","Label","miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_6wks","control_15wks vs control_6wks","miscanthus_sacchariflorus_15wks vs control_6wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_15wks vs control_6wks","miscanthus_sacchariflorus_4x_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sinensis_6wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_15wks","miscanthus_floridulus_15wks vs control_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_15wks vs miscanthus_floridulus_6wks","miscanthus_floridulus_15wks vs control_6wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_15wks vs control_15wks","miscanthus_sinensis_15wks vs control_15wks","miscanthus_sacchariflorus_4x_15wks vs control_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_15wks","miscanthus_floridulus_6wks vs control_15wks","miscanthus_sinensis_6wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_6wks vs control_6wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_4x_15wks","mzCloud","mzVault","SIRIUS","control_6wks","control_15wks","miscanthus_sinensis_6wks","miscanthus_sinensis_15wks","miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sacchariflorus_15wks","miscanthus_floridulus_6wks","miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks"
"4045","4045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.930355314145153,-1.1321439508068671,-0.10366715506643942,-0.44721803734444876,0.5709241377216685,0.9380347461585963,0.30998708123719965,0.48026296171970984,0.5098006259000627,-1.0937179610471475,-0.013087633004527532,-0.7028115146634022,NA,NA,NA,NA,NA,1.287992503820952,NA,NA,NA,NA,NA,NA,1.7954295488642735,0.8781365749160948,3.327200933311971,2.626058400344945,1.6573319981115198,2.0183627395706303,NA,NA,NA,"3","2","1","2","2","2","3","4","4","1","3"
"3462","3462",-0.47601530015950644,-1.7090068241407153,NA,NA,-0.4045311676523049,1.2980256659495666,NA,NA,-2.465272041202752,NA,-1.330003919893656,NA,NA,NA,-1.9194765776166598,NA,NA,-0.29339928212131383,NA,-1.6151048401981924,NA,1.5807429908354145,NA,-0.6115436910500485,-1.904356348445205,-1.872909422180296,-2.433535422985347,-0.2852692977673499,-1.0372581481806051,0.8641277063331785,1.9593303286238815,-0.5598901180586573,-1.1722897253089926,0.3531769891368235,-0.9026454569844269,1.1751651320679883,-1.5176841676065678,NA,1.4637862045487324,NA,NA,NA,1.5822395093572403,1.9352805416617755,NA,NA,NA,-2.473062861458022,NA,0.7186117414944668,-0.47996559405612516,2.305442143745349,0.7757855597300392,-0.3107948628444177,1.364314504925158,NA,NA,NA,"3","1","4","4","4","1","3","3","3","1","1"
"2761","2761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.407503892562083,-2.6316799634340704,NA,NA,NA,NA,NA,NA,NA,-0.8035081874316141,NA,NA,NA,NA,NA,NA,NA,1.5432150742164197,NA,NA,NA,NA,NA,NA,1.3739091614817838,-0.049050976086739695,2.174772130495384,1.6540666113189708,0.28441761425172984,1.7831533207520067,NA,NA,NA,"3","3","4","4","1","2","4","4","2","1","1"
"5093","5093",0.3637155490060948,-0.06678118112719744,0.24829910642514008,1.2572056942024972,0.018790028992413,0.33111025895396295,NA,NA,-1.6349026712734194,NA,-1.6963303203192979,NA,NA,-2.472705622763808,-1.1928995096336052,NA,1.779793123684506,-0.1077455192489225,1.0839911085579814,-2.31597948914154,NA,0.29251257099878814,NA,-2.581538883339217,-0.15030329293668743,-1.908541263449056,-1.9995317208593129,-2.9728483381168047,-2.3718939383499418,1.3731778175868143,2.9629413784397656,0.3920649745241853,0.5311994047490849,1.1848780026258083,-0.14329220452607316,1.2607624164446385,0.413702368041573,0.30644423002854637,0.0022328163901796927,0.45469964219263304,-2.121600329845897,-2.4020999411258472,1.000573688481417,0.3412285461434017,-1.6118314364326842,NA,-1.2887086875754505,-2.6682119613806066,NA,1.1893434382249062,0.6973372753466158,2.773436794862409,0.9061633935742499,0.7157235713505976,1.310328661587235,NA,NA,NA,"3","4","4","4","4","2","4","4","4","1","2"
"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6389658555636686,-2.2964939753154496,NA,NA,NA,NA,NA,NA,NA,-0.9723916902477754,NA,NA,NA,NA,NA,NA,NA,0.9194541833520375,NA,NA,NA,NA,NA,NA,1.6512408318495986,0.5397276899635948,2.4139941129439144,1.4882562851785757,0.9281480585578663,1.3142141784052512,NA,NA,NA,"3","1","3","2","1","1","1","3","2","1","1"
"3464","3464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0256811988976864,-2.071168814580094,NA,NA,NA,NA,NA,NA,NA,-1.3566606699836044,NA,NA,NA,NA,NA,NA,NA,1.3694403993400428,NA,NA,NA,NA,NA,NA,2.1437565539850567,0.5583873142999138,2.322116244960455,1.716562165180875,1.1354312325034357,1.6197453327780273,NA,NA,NA,"1","3","4","3","3","1","1","4","1","1","1"
"8101","8101",-0.5238057084381218,-0.19726424173271795,NA,NA,-0.4891078621854241,NA,NA,NA,-1.228199205476873,NA,-1.4743301220543508,-1.6345193968225011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7026960767984036,1.2236852536876732,-0.0179058965427501,NA,-0.31155868741042525,-2.304703506882287,-0.47304739158096254,-1.537167819022141,1.3094312808850361,2.7258996617690343,1.9964105866992412,0.8674680872756184,1.4067544217156431,0.16148870417054084,1.7163980793985516,0.5147345142464061,NA,NA,NA,NA,NA,1.1440831966975438,1.0944079134385092,0.7248968183954467,1.8521824698102378,1.0702058736334443,0.7393346961633185,0.7149154878696642,1.9073991259694516,0.4069878748518292,1.6922592028410648,1.2148688275643877,0.8293244330962217,1.1317018457253347,NA,NA,NA,"3","2","4","4","1","1","3","4","4","4","1"
"644","644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.403844074246173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31251051648138173,0.6168195916839245,NA,-0.8301372490899226,-2.162475391624877,-0.6666976469795749,-1.7920658141769508,1.635482684036937,2.199653144983696,1.5028984166393968,0.29790236074387266,1.1632359608926741,0.029951112840880256,0.9225585063731074,0.8994549017714419,NA,NA,NA,NA,NA,2.098840004243449,NA,1.1018112465279621,2.197686707172778,0.252293622587203,0.5440789713776581,1.0638799897961206,1.4670586788383844,0.5827974829608529,2.118013892844818,1.065854059429867,0.5864753281064949,1.7260670087987187,NA,NA,NA,"4","3","3","4","2","1","2","4","4","3","2"
"10331","10331",-1.2032008210990952,-0.3361408197731244,NA,0.6502746326958899,-0.5204366618056753,NA,0.745120838783226,NA,-1.3048944568430798,NA,-1.6806118931658993,-2.153915062403069,NA,-0.5552546065672601,NA,-1.7564201577669358,1.9887975853676494,0.4977303294592943,0.011180186735050057,NA,-2.2576489707331433,0.9130655957346683,0.8023611423894117,0.31257457995656424,0.9610798984497144,-1.0840852324014136,-2.5272975181241755,-0.257872372983563,-1.785644471405547,1.4473107290687146,1.7679427598200839,0.586025781612225,0.9362672971816188,-0.18677938093031088,-0.5967406389893206,0.7413078351890583,-0.2693211533814228,1.2516869016832644,NA,0.9175195481864478,NA,NA,2.292515695908641,1.8871633412392832,1.3640904080755334,0.33580668608722064,0.15640417169722554,1.254255266804197,0.04787050549596117,1.4309733979789918,0.5950196994792343,3.0584203934812457,1.3171281456738662,1.795912460987008,0.9398050797461437,NA,NA,NA,"2","3","4","4","4","1","4","4","4","4","1"
"12247","12247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0763181181169976,-2.7308785679906293,NA,NA,NA,NA,NA,NA,NA,-1.013896176076912,NA,NA,NA,NA,NA,NA,NA,1.2550748837139025,NA,NA,NA,NA,NA,NA,0.6679885983271561,0.8850437066855399,2.6124086309450263,1.7584036182920784,1.765177680639603,1.2283275662611466,NA,NA,NA,"3","2","3","2","1","1","2","4","2","2","3"
