"barcode","species_consensus","groups_consensus","quantity_initial","transplanted","date_transplant"
"Miscanthus sinensis  'KMS023'-Accn:KMS023-Q49557-Alt:","Miscanthus sinensis","Korea, N China Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'KMS068'-Accn:KMS068-Q49571-Alt:","Miscanthus sinensis","Korea, N China Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'KMS113'-Accn:KMS113-Q49591-Alt:","Miscanthus sinensis","Korea, N China Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'KMS215'-Accn:KMS215-Q49612-Alt:","Miscanthus sinensis","Korea, N China Msi",1,1,"2025/07/18 00:00:00"
"Miscanthus sinensis  'PMS-436'-Accn:PMS-436-Q46862-Alt:UI12-00141","Miscanthus sinensis","Korea, N China Msi",1,1,"2025/07/18 00:00:00"
"Miscanthus sinensis  'RU2012-217'-Accn:RU2012-217-Q47799-Alt:","Miscanthus sinensis","Korea, N China Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'RU2012-219'-Accn:RU2012-219-Q47801-Alt:","Miscanthus sinensis","Korea, N China Msi",1,1,"2025/07/18 00:00:00"
"Miscanthus sinensis  'RU2012-221'-Accn:RU2012-221-Q47802-Alt:","Miscanthus sinensis","Korea, N China Msi",1,1,"2025/07/18 00:00:00"
"Miscanthus sinensis  'JM0034.001'-Accn:JM0034.001-Q49545-Alt:","Miscanthus sinensis","N Japan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'JM0062.001'-Accn:JM0062.001-Q49550-Alt:","Miscanthus sinensis","N Japan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'RU2012-002'-Accn:RU2012-002-Q47623-Alt:","Miscanthus sinensis","N Japan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'JM11-041'-Accn:JM11-041-Q47549-Alt:2011-39-1","Miscanthus sinensis","S Japan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'Gracillimus'-Accn:UI10-00048--Alt:","Miscanthus sinensis","S Japan Msi",NA,NA,NA
"Miscanthus sinensis  'Miyazaki'-Accn:UI11-00001--Alt:Koike-22","Miscanthus sinensis","S Japan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'NC-2010-003 Nat Pop 2011-75-3-5'-Accn:UI14-00019--Alt:","Miscanthus sinensis","S Japan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus floridulus  'NG77-022'-Accn:PI417947--Alt:","Miscanthus floridulus","SE China Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'PMS-182'-Accn:PMS-182-Q49102-Alt:","Miscanthus sinensis","SE China Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'PMS-397'-Accn:PMS-397-Q45689-Alt:UI12-00139","Miscanthus sinensis","SE China Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'PMS-055'-Accn:PMS-055-Q49142-Alt:","Miscanthus sinensis","Sichuan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'PMS-475'-Accn:PMS-475-Q49237-Alt:","Miscanthus sinensis","Sichuan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'PMS-546'-Accn:PMS-546-Q49239-Alt:","Miscanthus sinensis","Sichuan Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'PMS-134'-Accn:PMS-134-Q46041-Alt:UI12-00115","Miscanthus sinensis","Yangtze-Qinling Msi",2,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'PMS-165'-Accn:PMS-165-Q49346-Alt:","Miscanthus sinensis","Yangtze-Qinling Msi",1,1,"2025/04/15 00:00:00"
"Miscanthus sinensis  'PMS-605'-Accn:PMS-605-Q49375-Alt:","Miscanthus sinensis","Yangtze-Qinling Msi",1,1,"2025/07/18 00:00:00"
"Miscanthus xgiganteus 3x  'Illinois'-Accn:UI10-00107--Alt:","Miscanthus xgiganteus 3x",NA,1,1,"2025/07/18 00:00:00"
"Miscanthus xgiganteus 3x  '64-1'-Accn:UI10-00123--Alt:","Miscanthus xgiganteus 3x",NA,1,1,"2025/07/18 00:00:00"
