"ID","Label","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_4x_15wks vs control_6wks","miscanthus_sacchariflorus_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sinensis_6wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs miscanthus_sacchariflorus_4x_15wks","control_15wks vs control_6wks","miscanthus_sinensis_6wks vs control_6wks","miscanthus_sinensis_15wks vs control_6wks","miscanthus_floridulus_6wks vs control_6wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_6wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_floridulus_15wks vs miscanthus_sacchariflorus_15wks","miscanthus_floridulus_15wks vs miscanthus_floridulus_6wks","miscanthus_floridulus_15wks vs control_6wks","miscanthus_floridulus_15wks vs miscanthus_sinensis_6wks","miscanthus_floridulus_6wks vs control_15wks","miscanthus_floridulus_15wks vs control_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks vs control_15wks","miscanthus_sacchariflorus_4x_15wks vs control_15wks","miscanthus_sacchariflorus_15wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks vs control_15wks","miscanthus_sinensis_6wks vs control_15wks","miscanthus_sinensis_15wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_4x_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sacchariflorus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs control_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks vs miscanthus_sinensis_15wks","mzCloud","mzVault","SIRIUS","control_6wks","control_15wks","miscanthus_sinensis_6wks","miscanthus_sinensis_15wks","miscanthus_sacchariflorus_4x_15wks","miscanthus_sacchariflorus_ssp_lutarioriparius_15wks","miscanthus_sacchariflorus_15wks","miscanthus_floridulus_6wks","miscanthus_floridulus_15wks","miscanthus_sinensis_ssp_transmorrisonensis_6wks","miscanthus_sinensis_ssp_transmorrisonensis_15wks"
"1453","1453",NA,NA,NA,NA,NA,-2.704262345297984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2865775536814805,2.665745188305893,2.9629709557604613,1.952897032239722,2.6876143878904557,2.9493427591337102,3.3041851254006787,2.1214233856399325,2.134495278992379,NA,NA,NA,"3","2","1","2","2","1","1","3","1","3","1"
"494","494",NA,NA,NA,NA,NA,-2.2249878999947317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.226815619306521,2.337777690886906,2.8728118555749944,2.717605736590343,2.7895234660687116,3.0348687685257794,2.522653445902021,1.620415119789417,2.1021699623103522,NA,NA,NA,"1","2","1","1","1","1","2","1","2","4","3"
"2051","2051",0.5791019968365347,1.7869537254072299,1.115369451858001,1.5248806480313082,0.23197646253355586,-1.485173473433143,0.5587733386464606,0.7832862484049024,1.4710176760942701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45661475269886864,-0.5121668730435616,0.5029633020702704,0.6790277666003917,1.1667184507657105,-1.200397507871564,0.2515130127782328,NA,2.3032185046822438,NA,NA,NA,1.0466897844439202,NA,NA,2.755981726012685,3.2746815039491874,2.708993987345437,2.8707179618315948,2.1879673139345,3.2846917191453784,2.087034543534447,2.2324515483530654,1.9850311246684704,NA,NA,NA,"1","2","2","3","1","2","1","3","2","4","3"
"3876","3876",NA,NA,NA,NA,NA,-3.1046224820100825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.131621754846698,2.854408627534223,1.8298137808535415,2.8930744936314774,2.716794861111783,3.339652356281235,1.8668847389936651,2.3734834649105245,1.5027180602815768,NA,NA,NA,"3","2","3","2","1","3","1","2","2","4","1"
"142","142",1.9157463215154742,3.78552316730503,2.4400810286558148,3.80558157306165,2.5619669218264214,-0.32095213778801934,1.22894074080941,3.368299754915448,0.10444178004507876,NA,NA,NA,NA,NA,-1.999812021107882,-2.8058585531589557,-2.380938235576341,NA,NA,NA,-2.3386468508670184,NA,NA,3.089841345421391,NA,NA,-2.072831754507437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8090279022286353,NA,NA,NA,NA,NA,2.9670815636862926,2.5553920808861363,NA,3.4775582978410657,3.771279468385213,3.420077067089391,2.2731838442885177,3.9510465920780113,4.396509934459726,2.857977061075424,-0.16847709020986912,1.850746043380834,NA,NA,NA,"1","3","4","2","1","2","2","2","1","4","4"
"5160","5160",2.8502319103499953,4.144889771237894,1.3406427122044668,2.2317052021392527,1.3705396031884867,-0.2394937863593256,0.6930605573813935,2.1739864475233617,2.7382188230044733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6829352787308416,-0.1465311253778978,0.5063949829357739,0.013710471380168343,1.284675143164998,1.787342919449479,-0.09726778082981369,NA,0.6617280557309613,NA,NA,NA,2.545761940154918,NA,NA,2.8773415206595345,3.578224336123956,2.354930829813526,3.746851474066913,1.7187198048905898,2.2585927712506333,3.1993065192833114,2.4263087886139765,1.840044972180209,NA,NA,NA,"2","1","3","3","3","1","2","1","3","4","4"
"5405","5405",4.685964081549518,2.283104771497655,3.5565698206254623,2.2543495242973925,1.584493456110522,-1.554829204629101,1.6870431128692367,3.4601771435427615,2.324056287955706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.808928911343404,NA,NA,3.5934956850638233,2.5471039904689903,2.4436586494273023,3.4987689319190984,4.132471903023067,2.5922414649775867,3.464438858795468,2.8456864098592227,2.004677345456752,NA,NA,NA,"1","2","3","1","3","1","1","2","1","4","4"
"471","471",NA,NA,NA,NA,NA,-2.3750127544650432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3904067368918227,2.985149670757366,3.836192423821391,2.7962609662092213,3.5913477629005968,3.0023617635660784,3.8480580676384513,3.360349568661281,1.6373913678439003,NA,NA,NA,"2","2","2","2","1","2","2","2","2","4","1"
"421","421",3.9889804461961056,4.103590600839784,3.6178376677870077,3.0017863434486323,2.392993414911807,-1.3402400661131146,2.6627804680868117,3.431198124211903,1.0108279297303007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3684320076389014,NA,NA,3.872683731772124,3.705336685298178,3.4283310240990303,3.116225574279504,3.5865286405105614,3.417351906678938,3.5558972503494246,2.255589538866385,2.0882901190771435,NA,NA,NA,"1","2","3","2","3","1","1","1","2","4","4"
"1688","1688",0.6629735844801061,-0.04027292860825682,NA,NA,NA,-3.2584310991683463,NA,-1.0546033603440321,NA,-0.22795061330131006,0.7383857046829085,NA,-0.548418944489331,-0.7097524375018409,NA,0.6270549837203774,NA,-0.0779393926259786,-1.2279951520613395,0.4774067886764719,1.526764928501379,-0.4886762570069756,0.36822500594965746,-0.5933340178871127,-0.32489215291252904,-0.3349326630654019,NA,NA,-1.5005215955500635,-1.455137575677103,NA,-1.2881036032864603,NA,-1.3699255480698476,NA,NA,-1.1025677884380478,NA,NA,NA,0.5919266609697935,0.39939571609167857,NA,NA,NA,NA,2.2040029431904724,0.6895556746175693,1.7414473990748185,1.9256232755217368,1.2855364906953248,1.914311876715864,0.77256915148768,1.0411251559424706,1.0781746232852392,NA,NA,NA,"2","1","3","1","4","3","2","2","1","3","3"
"226","226",NA,NA,NA,NA,NA,-2.616951360768672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6161126481930967,0.5710272140477635,2.9358502908150292,0.8450387208453556,2.079356256807685,2.204439259643923,2.057818280106499,0.5466703830170054,0.9660075085343145,NA,NA,NA,"2","1","2","1","2","2","2","1","2","4","3"
"1991","1991",-0.2897114589313823,0.34374145547891644,0.3214196196635122,-0.16965579650420537,1.1254556603144188,-1.2827949405011445,-0.9639333894694353,-0.2688372495213365,-1.0080969266545665,-1.937025840833666,-1.1391701175373825,-2.5001690011125746,-0.5535993073440011,-0.9382852353105839,0.6392376857281725,-0.8088678981499413,-1.5885059125837842,-0.09152824669006066,-0.494453569024607,-0.3347078720279022,0.33793890178170827,0.7124604241286967,-0.9576992869372916,0.6965759660505739,1.42530702283576,-0.8172856299753555,-0.41542447549081274,-1.517575964747973,-0.18188877503857626,-0.7286952686426638,0.26589166287782007,-0.512949194089579,-3.4678002797776326,-2.942140435140489,-1.018514406756175,-2.795288005218424,-2.5646964695898298,-2.5915077869238843,0.6922517575646872,NA,0.7436776397708087,0.9215842825561893,1.1911199115489985,1.0692181798920402,2.1362216708394293,2.3041820025429907,2.7515851932674344,1.8911460695557452,2.0906947607174047,2.1753793853745336,3.285001872052579,2.3679972974321366,1.3195009127303052,0.7787384430969766,0.0421680257766468,NA,NA,NA,"3","3","4","4","4","3","3","2","2","4","3"
"2201","2201",NA,NA,NA,NA,NA,-1.1037645477157927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9342770253353763,1.3444702885402045,1.3308635972478662,2.468379563882772,2.465314865527171,1.3806765557537126,1.9907239974732498,0.7607851677579411,0.49262720251599745,NA,NA,NA,"3","1","2","1","2","2","2","1","2","3","2"
"1435","1435",NA,NA,NA,NA,NA,-2.204271989873881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.923814847367364,2.297535581221041,0.7524771484264114,1.6960839850929297,2.1953150164609276,2.070509766487909,2.1787984199844104,1.4263685551986462,2.3158755948286114,NA,NA,NA,"2","1","2","2","1","3","3","2","2","3","3"
"2486","2486",NA,NA,NA,NA,NA,-1.9933856030084431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8321561790646275,2.073269867875947,0.4621624487319629,2.504194200954739,2.6267176941680344,2.014667177143412,1.6383845611864416,0.7275609227472337,1.9990995809292436,NA,NA,NA,"1","3","1","1","2","1","3","3","2","3","1"
"3175","3175",0.059874264850027004,0.3343261114049838,-0.3775887146105177,-0.5821953555412698,1.3938592326291754,-2.1574839730272615,0.017508021651121197,1.6200078758720835,-0.12330289039745068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46206747471040543,NA,NA,3.168025998597786,1.3676850009681232,0.32066931461059056,2.1202168908377157,2.381269245074538,2.708825644778152,1.9533235075805102,1.2154840327852092,1.709653814442813,NA,NA,NA,"3","1","2","2","1","1","1","2","1","4","1"
"1982","1982",NA,NA,NA,NA,NA,-2.3616961990937746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83763226186532,1.9313792944405215,0.42941277138624656,2.4602969703520365,2.319905756516892,2.3422308293581047,1.8654915893553614,1.723440769313715,2.0072381832898714,NA,NA,NA,"1","1","2","2","3","1","3","1","2","3","1"
