ID,control_1_6wks_6wks_flush_1_exudate_aqueous,control_1_6wks_6wks_flush_2_exudate_aqueous,control_1_15wks_15wks_flush_1_exudate_aqueous,control_1_15wks_15wks_flush_2_exudate_aqueous,control_2_6wks_6wks_flush_1_exudate_aqueous,control_2_6wks_6wks_flush_2_exudate_aqueous,control_2_15wks_15wks_flush_1_exudate_aqueous,control_2_15wks_15wks_flush_2_exudate_aqueous,jm0034dot001_6wks_flush_1_exudate_aqueous,jm0034dot001_6wks_flush_2_exudate_aqueous,jm0034dot001_15wks_flush_1_exudate_aqueous,jm0034dot001_15wks_flush_2_exudate_aqueous,jm0062dot001_6wks_flush_1_exudate_aqueous,jm0062dot001_6wks_flush_2_exudate_aqueous,jm0062dot001_15wks_flush_1_exudate_aqueous,jm0062dot001_15wks_flush_2_exudate_aqueous,jpn_2011_004_15wks_flush_1_exudate_aqueous,jpn_2011_004_15wks_flush_2_exudate_aqueous,jpn_2011_023_15wks_flush_1_exudate_aqueous,jpn_2011_023_15wks_flush_2_exudate_aqueous,jy025_15wks_flush_1_exudate_aqueous,jy025_15wks_flush_2_exudate_aqueous,jy027_15wks_flush_1_exudate_aqueous,jy027_15wks_flush_2_exudate_aqueous,kms062_15wks_flush_1_exudate_aqueous,kms062_15wks_flush_2_exudate_aqueous,kms113_6wks_flush_1_exudate_aqueous,kms113_6wks_flush_2_exudate_aqueous,kms113_15wks_flush_1_exudate_aqueous,kms113_15wks_flush_2_exudate_aqueous,pi417947_6wks_flush_1_exudate_aqueous,pi417947_6wks_flush_2_exudate_aqueous,pi417947_15wks_flush_1_exudate_aqueous,pi417947_15wks_flush_2_exudate_aqueous,pms_165_6wks_flush_1_exudate_aqueous,pms_165_6wks_flush_2_exudate_aqueous,pms_165_15wks_flush_1_exudate_aqueous,pms_165_15wks_flush_2_exudate_aqueous,pms_182_6wks_flush_1_exudate_aqueous,pms_182_6wks_flush_2_exudate_aqueous,pms_182_15wks_flush_1_exudate_aqueous,pms_182_15wks_flush_2_exudate_aqueous,pms_546_6wks_flush_1_exudate_aqueous,pms_546_6wks_flush_2_exudate_aqueous,pms_546_15wks_flush_1_exudate_aqueous,pms_546_15wks_flush_2_exudate_aqueous,ui10_00009_15wks_flush_1_exudate_aqueous,ui10_00009_15wks_flush_2_exudate_aqueous,ui11_00002_6wks_flush_1_exudate_aqueous,ui11_00002_6wks_flush_2_exudate_aqueous,ui11_00002_15wks_flush_1_exudate_aqueous,ui11_00002_15wks_flush_2_exudate_aqueous,ui14_00019_6wks_flush_1_exudate_aqueous,ui14_00019_6wks_flush_2_exudate_aqueous,ui14_00019_15wks_flush_1_exudate_aqueous,ui14_00019_15wks_flush_2_exudate_aqueous,ui25_00001_6wks_flush_1_exudate_aqueous,ui25_00001_6wks_flush_2_exudate_aqueous,ui25_00001_15wks_flush_1_exudate_aqueous,ui25_00001_15wks_flush_2_exudate_aqueous
11,14320498.6,8269737.175,NA,NA,23806283.69,17216704.64,NA,152308.6425,2026326979,499355549.1,22515386.73,303974309.8,NA,34806091.62,111659979.6,21374810.13,NA,NA,NA,1652618.879,6608746.862,123238.604,8264490.497,NA,NA,NA,147674852.5,40784480,NA,NA,21385435.45,NA,NA,1239567.7,16931302.94,13003765.07,2258273.078,712780.4766,22445194.37,NA,NA,NA,NA,NA,48095066.92,17671941.8,NA,12788416.22,NA,13024789.86,NA,NA,30123255.91,246174683.7,84035172.48,NA,8072704.821,19159628.71,NA,NA
12,42220185.01,17500266.02,41230709.9,14792395.25,36168958.17,17737357.79,75688467.38,19916659.39,24217541.7,13948785.88,20752298.5,8438259.214,10996855.34,14122466.1,22470083.99,9979956.488,12159775.55,9299219.913,26084230.89,16779621.41,17661419.68,11491088.27,17090538.28,45997986.78,19751900.61,11092525.97,24015788.33,17456449.5,21116321.89,16841509.53,12860850.16,7795892.882,6137214.895,6399040.442,48936801.51,21179558.91,18820850.66,13179053.25,41843090.21,19130578.92,21054907.63,8801335.618,30106273.76,14822657.84,1982157297,18957957.19,20798451.01,21753426.54,22887910,16608129.08,81928721.22,35328751.25,14559787.15,10561946.57,11248235.47,8180977.741,17343088.56,15092616.07,29542205.69,18356864.21
13,3824143.025,2359600.661,2319627.865,1570936.068,3060030.242,2593687.5,3785004.11,2147536.134,2115449.854,2466841.81,1348462.81,1609312.211,2204830.91,5395013.537,2379265.234,1778718.215,3227044.741,1782580.62,2485450.09,2606093.141,1744889.265,1772208.848,1923394.419,4203941.417,1870502.436,2938774.737,2691312.238,9500368.516,2591442.185,1761601.914,1131447.38,1309101.765,469974.7589,1028945.809,5412586.94,7423644.679,1751362.734,2201776.629,9585755.848,2129586.226,2132797.723,1114904.651,3069568.775,2271401.059,2117606543,2634728.758,1883811.84,3196938.109,2245234.22,2383461.696,8027451.353,2556998.563,1229792.346,4065035.371,1507830.467,764779.7716,1724546.404,2512481.081,2176173.521,2175928.343
14,23520988.93,11153264.37,22774010.92,8870181.443,21153856.9,11650468.43,42548531.66,12957676.18,14583891.82,9484000.203,10224366.15,5776639.666,7314601.602,10852848.37,14582211.74,7349287.363,9269634.885,6801208.53,16045659.66,11912243.56,11088602.85,8509168.382,9911268.434,24888655.04,10172742.09,7899455.96,13435976.71,13447720.7,12299759.71,11523969.09,8244869.492,6422480.24,4427370.436,5568458.786,27929628.18,14780049.31,10909141.4,9346026.255,25716778.72,11975132.06,12038645.98,5732910.023,17499120.6,9568254.109,1936344914,12367361.56,12892004.88,15075295.23,12442811.19,10102152.22,57998319.6,33628893.23,9561132.702,8772712.6,8062219.343,6440092.885,9901666.686,10786641.51,16017594.66,13214260.07
15,93669194.38,33143171.66,78012703.99,22273048.88,66174701.11,28163099.32,118474173,31186123.99,49006154.7,23734354.64,48448767.78,12903408.43,17657118.33,17610858.71,31895447.39,11941704.08,15296906.63,12969237.14,44241588.09,22189834.71,29595729.09,15925785.72,36029059.17,111583446.2,47100186.31,16013482.48,48788815.16,22941925.34,47367257.96,29495120.29,23792844.79,8551150.989,7074240.864,4820199.815,92492670.79,31304694.5,32523897.59,22254871.21,80214554.57,32512593.1,44861557.64,11576191.02,57787397.66,23502180.83,1730967747,36796910.12,34300063.92,29411256.8,49144929.75,24220234.03,105554668,42833717.49,21453924.14,12602534.99,16264454.34,8612797.797,34295513.72,23787867.92,59936691.69,26778676.54
16,3538577.632,2702553.453,1527401.898,1232946.625,2528549.257,2627538.39,3492380.691,2020846.177,2288459.421,2163407.807,1181966.686,1796519.538,2721245.979,9921507.604,2777898.852,2194268.146,2978330.442,1519697.738,2105795.516,2396098.858,1770270.621,2143154.306,1867795.805,4875806.95,1627018.614,3027683.278,3576018.649,15361733.03,3234119.896,1962305.666,2160306.364,2158888.606,698337.4769,1740877.806,4682513.835,8951951.521,1127484.228,1449379.019,12061101.65,1765546.531,2047144.53,834918.7311,2540186.808,2048475.386,1870733620,2090286.204,NA,2873424.703,2304890.951,2771749.733,10301010.38,1750273.518,1742783.101,9358654.852,1991189.375,1370117.585,1951094.936,2578758.82,1908711.766,1845689.101
17,761229862.6,534475309.9,1736829139,419982064.3,373068987.4,308354107.4,2661004167,692176743.8,362575781.9,47743420.96,137849156.9,70066969.61,28638237.83,235183105.5,140523080.8,17724938.9,84254172.86,165024224.1,274771001.9,136016171.2,278549226.3,256268250.3,55901192.24,221706704.1,35776490.66,68213100.14,43299839.93,165065807.9,107334628.5,120686624.8,177274591.6,144372492.5,66553752.54,25448016.14,430665594.6,251197854.3,217957415,NA,306176312.2,354973759.4,122521835.6,40810059.8,283551497.2,233980118.3,NA,462326575.7,633523163.3,576303618.8,331829824.3,278394195,59968399.19,129130044.4,156290528.3,279436073.5,338905543.1,45330287.83,105257171.1,311574517.1,57498910.85,205005329.3
18,7951324.308,4477775.901,5778215.47,8450379.281,6483965.316,4868728.343,10611695.08,4322564.896,6556929.884,5519506.102,3424055.624,3670140.94,4747982.499,7924683.005,7682325.355,4725813.129,5299721.788,3146642.739,5690798.55,10250847.38,3781627.765,3976758.812,3795732.118,6991805.269,3517070.788,4433267.21,5885193.585,11210110.01,5024822.548,4536724.686,4798262.028,4812569.051,2758069.133,4343781.377,9904712.344,8556860.088,4038641.777,3864358.574,10353488.59,4146000.304,4061687.833,2387273.703,5488363.335,3643402.828,1579531461,4478487.585,5104917.328,5899851.028,5380800.465,5110570.515,20588462.63,8018721.487,5826753.971,9126745.093,4954464.576,3759204.99,4121101.056,5801497.292,4952650.367,4652466.14
19,454114980.6,243908409.4,232099506.2,307303837.8,253866545.9,232107653.7,333932548.4,328209216.9,288576975.1,233504849.9,188177797.7,270301080.2,193616537.4,151757518.1,172064121.8,146343550.3,363362816.5,486595706,546957332.9,253778197.8,469996226.2,1438090764,381783115.2,500195366,703320521.3,323812223.6,262290180.4,297932862.8,292667139.1,289601874.7,82858022.68,90288875.77,96973668.98,83103392.88,243511216.4,253498291.6,347057287.2,226192201.3,296012264,233671185.3,410789720.8,280667799,370506120,224384583.9,398669199,274645523.9,289382083.8,451392034.4,250736110.2,270815246.8,336325483.5,311320753.8,219625341.9,248144250.9,166006928.9,140694425.9,224338111.3,209040677.7,332368452,668753911.8
20,965938677.6,1269289447,650052655.4,943371198.8,1193827092,1463080023,1234894372,1262577627,340895473.5,342649914.7,291776660.2,297709802.2,252855894.3,265789940.6,161899004.1,63429847.02,21280447.95,24415692.62,26445133.18,14605614.33,58092484.42,110298582.5,10781660.42,67893762.04,87041236.2,53714957.2,332815825.9,398708730.4,421971884.5,442648420.1,68459561.26,98432278.46,66865214.24,70904130.53,955480403.9,688216174.7,730664085,1050113728,608013573.5,609251991.1,477539455,672089775,476753101.1,450541046,667074332,787411624.8,25513767.36,28047903.74,113644253.7,154456980.5,143737080.9,213907684,172330403.2,155260857.5,69596670.72,72262912.11,228505319.5,287312349.5,209291499.1,346275593.8
